Course	Room	Teacher	Time	Days	Students
192	20	32	(8, 10)	MWF	211 377 381 634 661
193	21	34	(0, 3)	M	212 229 458 832
194	2	133	(8, 11)	M	216 325
195	118	125	(12, 17)	M	216
196	59	74	(0, 1)	MWF	218 486 548 553
198	13	5	(7, 9)	TTHF	223
199	2	115	(10, 15)	TH	223 332 402 421
200	2	110	(12, 13)	MWF	226 272 485
201	22	135	(0, 1)	TTHF	227 267 439 487 678 730 744 864 895 906 945 947 948 966
202	48	41	(0, 5)	MW	228 294 296 322 405 447 730 1014 1106
203	48	41	(6, 11)	MW	228 294 296 322 405 447 547 689 730 1014 1106
204	5	136	(5, 7)	MWF	233 344 747 809 829 889 904 944 1067 1113
205	54	137	(3, 4)	MWF	233 948
206	13	30	(0, 3)	T	240
207	6	138	(10, 12)	MW	247 321 378 453 456 498 522 535 551 653 662 743 755 774 779 780 789 885 888 914 929 950 994 1051 1082
208	55	48	(0, 1)	MWF	251 263 408 462 492 532 542 597 634 661 719 750 775 804 834
209	36	139	(12, 17)	M	258 338 480 754
210	128	27	(16, 19)	M	
211	107	140	(0, 5)	T	272 320 599 867 1030
212	107	81	(12, 14)	MWF	273 528 627 725 748
213	22	118	(0, 1)	M	279 331 394 524 626 690 747 753 766 810 877 883 951 969 983 986 995 1006 1015 1027 1032 1035 1037 1059 1071 1075
215	30	127	(5, 7)	MWF	300 727 750 763 871 936 958 966 1021 1040 1058 1068 1094
216	45	30	(10, 13)	T	305 444
218	53	14	(17, 19)	MWF	307 388 391 555 664
219	11	30	(14, 15)	MW	321 447 485 504 589 603 644 810 1014
220	67	44	(13, 15)	MWF	326 410 506 538 552 629 656 686 779 787 817 826 850 854 877 884 924 946 954 1010 1041 1058 1059 1096
221	6	123	(3, 5)	MWF	372 709 710 768 795 817 827 925 926 927 938 981 1004 1032 1061
222	123	141	(0, 3)	M	333
223	33	47	(5, 7)	MWF	336 374 385 454 456 465 533 572
224	12	85	(4, 5)	MWF	395 1023
225	45	110	(3, 6)	W	444
226	21	NA	(0, 2)	TTH	363 464 531 705
227	2	110	(16, 17)	MWF	415
228	34	1	(3, 4)	MWF	376 581 607 764 774 989
229	39	143	(16, 17)	MWF	562 818 1044
231	12	144	(13, 14)	MWF	406 542 556 679 685
232	45	115	(14, 19)	T	418
233	2	4	(7, 9)	TTH	419 642
234	39	143	(12, 13)	MWF	436 717 767
235	123	139	(4, 9)	M	
236	3	98	(2, 4)	MWF	483 512 524 525 529 557 567 603 626 718 721 727 732 739 740 747 753 762 766 781 782 788 789 791 793 794 798 809
237	53	33	(6, 9)	T	489
238	44	2	(16, 18)	MW	687
239	21	19	(8, 9)	MWF	514 629 763
240	8	62	(3, 5)	MWF	515 777 979
241	8	147	(6, 11)	T	515 669 847
243	42	108	(7, 8)	MWF	553 732 753 970 1018 1043 1073 1074
245	5	141	(5, 7)	TTH	578 621 788 817 853 878 952 1008 1025 1026 1077 1104
246	34	29	(12, 14)	TTH	607 880
247	127	147	(4, 9)	M	613
248	52	115	(2, 7)	M	631 641 656
249	122	NA	(16, 18)	MWF	637 673 697 764 786
250	22	152	(11, 13)	TTH	641 820
251	39	159	(0, 1)	M	794 798 943 945 958 959
252	22	160	(9, 10)	M	819 838 930 982 1008 1018 1034 1050 1073 1075 1086
254	44	138	(13, 15)	MW	879 887 976
255	86	165	(17, 19)	MWF	1170 1303 1312 1448 1488 1567 1741 1758 1790 1795 1837 1850 1903 2055 2123 2144 2146 2218
256	119	166	(8, 10)	MWF	1118 1330 1390 1452 1711 1803 2191
